title,url,status,property_type,price,address,city,state,bedrooms,bathrooms,size_m2,image_url
Appartement S3 à louer aux Jardins de Carthage,https://www.mubawab.tn/fr/a/8285997/appartement-s3-%C3%A0-louer-aux-jardins-de-carthage,À louer,Appartement,3 500 TND,Les Jardins de Carthage,Le Kram,Le Kram,3,0,200,
Un S1 meublé a louer au jardin de Carthage,https://www.mubawab.tn/fr/a/8254440/un-s1-meubl%C3%A9-a-louer-au-jardin-de-carthage,À louer,Appartement,2 300 TND,Les Jardins de Carthage,Le Kram,Le Kram,1,1,Non spécifié,
Un S2 neuf a louer au jardin de Carthage,https://www.mubawab.tn/fr/a/8286693/un-s2-neuf-a-louer-au-jardin-de-carthage,À louer,Appartement,2 500 TND,Les Jardins de Carthage,Le Kram,Le Kram,2,2,Non spécifié,
Un Appartement S4 a louer au jardin de Carthage,https://www.mubawab.tn/fr/a/8287419/un-appartement-s4-a-louer-au-jardin-de-carthage,À louer,Appartement,3 200 TND,Les Jardins de Carthage,Le Kram,Le Kram,4,1,Non spécifié,
"Bureau 2 pers. À Tunis, Le Golfe de Tunis",https://www.mubawab.tn/fr/a/8078127/bureau-2-pers-%C3%A0-tunis-le-golfe-de-tunis,À louer,Bureau,1 739 TND,Carthage,Carthage,Carthage,0,1,10,
"Bureau tout inclus 2 pers. À TUNIS, Carthage",https://www.mubawab.tn/fr/a/8077321/bureau-tout-inclus-2-pers-%C3%A0-tunis-carthage,À louer,Bureau,1 179 TND,Carthage,Carthage,Carthage,0,1,Non spécifié,
A louer un S2 avec jardin aux Jardin de Carthage,https://www.mubawab.tn/fr/a/8279139/a-louer-un-s2-avec-jardin-aux-jardin-de-carthage,À louer,Appartement,1 850 TND,Les Jardins de Carthage,Le Kram,Le Kram,2,3,140,
S1 richement meublé à la Marsa,https://www.mubawab.tn/fr/a/7880155/s1-richement-meubl%C3%A9-%C3%A0-la-marsa,À louer,Appartement,1 500 TND,La Marsa,La Marsa,La Marsa,1,1,50,
Appartement S3 en Location aux Jardins de carthage,https://www.mubawab.tn/fr/a/8215386/appartement-s3-en-location-aux-jardins-de-carthage,À louer,Appartement,2 100 TND,Les Jardins de Carthage,Le Kram,Le Kram,3,3,150,
Villa haut standing avec piscine au Lac2,https://www.mubawab.tn/fr/a/8284230/villa-haut-standing-avec-piscine-au-lac2,À louer,Villa,8 000 TND,Les Berges Du Lac 2,La Marsa,La Marsa,4,4,450,
Duplex S2 meublé Neuf aux Jardins de Carthage,https://www.mubawab.tn/fr/a/8281148/duplex-s2-meubl%C3%A9-neuf-aux-jardins-de-carthage,À louer,Appartement,5 500 TND,Les Jardins de Carthage,Le Kram,Le Kram,2,3,2025,
